	Title	Location	Company	Salary	Synopsis	mean_annual_salary
136	Senior Software Engineer, Data	Remote in Arlington, VA	Interos, Inc.	$120,000 - $160,000 a year	Enjoy optimizing complex data models for comprehension and performance.Create connectors for ingesting data from third party databases, APIs, and web sites.	140000.0
137	Senior Broadband and Digital Equity Data Analyst	Washington, DC 20003 (Navy Yard area)	Carson Solutions LLC	Up to $53 an hour	Manage all geospatial data collection and statistical analysis related to broadband and digital equity.Analyzes information and statistical data to prepare…	106000.0
138	Statistician, GS-1530-13, DE, (Open Continuous)	Washington, DC 20202 (Southwest Federal Center area)	US Office for Civil Rights	$103,690 - $134,798 a year	Experience publishing high-quality reports on data from large data files with many data elements, and effectively communicating about such reports with internal…	119244.0
139	Public Notice for Statistician (Direct Hire)	Washington, DC	US Federal Aviation Administration	$47,813 - $155,403 a year	Examples may include but are not limited to: recognize and evaluate significant and critical factors in research; solve complex problems (or advise others on…	101608.0
140	Data Plane Engineer	Remote in Washington, DC 20057+2 locations	Recruiting From Scratch	$140,000 - $200,000 a year	Troubleshooting and optimizing data path.Architect the next generation 5G base station on a chip’s data path.Strong programming experience in c/c++.	170000.0
141	REMOTE: Senior Software Engineer with leading AI analytics f...	Remote in Washington, DC 20001	CyberCoders	$130,000 - $150,000 a year	The team is focused on developing complex, AI-based algorithms and forecasting applications for risk management and decision support in the finance industry.	140000.0
142	R&D Engineer – AI, Machine Learning, Ultrasound, NDT/SHM	Gaithersburg, MD 20878	X-wave Innovations, Inc.	$79,390 - $193,253 a year	5 years in AI, ML, Signal/image processing, data analysis.Ph.D. or M.S. with 5+ years of hands-on experience in algorithms and application software development…	136321.5
143	Software Engineer (Deep Learning)	Rockville, MD 20850	Barrow Wise Consulting	$84,000 - $110,000 a year	Utilizes big data computation and storage models to create prototypes and data sets.Designs and develops scalable solutions using AI and deep learning models.	97000.0
144	Senior Logistics Data Analyst	Herndon, VA 20170	Yakshna Solutions	$80,000 - $90,000 a year	Documented experience using Tools for Oracle Application Development (TOAD) to develop tables, load data and construct structured query language (SQL0 for data…	85000.0
145	Senior Big Data/Machine Learning Engineer (BHJOB1435_28491)	McLean, VA 22102	Astyra Corporation	$80 - $85 an hour	AML Customer Data Team - provides central location for customer data, reforming searching for different sanction lists.Job Types: Full-time, Contract.	165000.0
146	Senior Data Architect	Bethesda, MD 20816+1 location	Peraton	Up to $221,700 a year	Work with data scientists to support the expansion of Machine Learning and Artificial Intelligence, and big data analytics to design, model, document, and guide…	221700.0
147	Principal Statistical Programmer	United States	AL2S3 LTD	$150,000 - $170,000 a year	They are proud of their culture of engagement and accountability that rewards employees for innovative thinking and achievement of key objectives.	160000.0
148	Data Scientist	Washington, DC+2 locations	US Federal Aviation Administration	$112,187 - $173,922 a year	U.S. Citizens, Nationals or those who owe allegiance to the U.S.Also open to those eligible for 30% or more Disabled.	143054.5
149	Data Scientist I	Vienna, VA 22180+3 locations	Navy Federal Credit Union	$101,500 - $156,100 a year	Moderate skill data mining, data wrangling, and data transformation with both structured and unstructured data; deep understanding of data models.	128800.0
150	Data Scientist	Washington, DC	US Federal Aviation Administration	$112,187 - $173,922 a year	Help This job is open to The public U.S. Citizens, Nationals or those who owe allegiance to the U.S. Individuals with disabilities Veterans Special…	143054.5
151	Biologist/Ecologist (Data Scientist)	Washington, DC 20242 (East Potomac Park area)	US National Park Service	$74,950 - $97,430 a year	Duties Directs an intricate program of data science activities that involve sensitive and complex topics that may impact a wide variety of park issues.…	86190.0
152	Data Scientist	Remote in Washington, DC 20005+1 location	S&P Global	$68,300 - $155,900 a year	Segment: Market Intelligence The Role: Data Scientist III Location: Boston or Remote, EST Time Zone GL: 10 (for internal use only) At S&P Global Market…	112100.0
153	Data Scientist I	Vienna, VA 22180	Navy Federal Credit Union	$101,500 - $156,100 a year	YOUR LIFE'S MISSION: POSSIBLE You have goals, dreams, hobbies and things you’re passionate about. What’s Important to You Is Important to Us We’re looking…	128800.0
154	Senior Data Scientist	Remote in Arlington, VA+2 locations	Interos, Inc.	$120,000 - $160,000 a year	Strong understanding of data science fundamentals and data analysis techniques.Analyzing large open source and proprietary data sets to identify actionable…	140000.0
155	Survey Statistician	Hyattsville, MD 20782	ePATHUSA Inc	$110,000 a year	Experience in data cleaning, data manipulation, data merging, data editing using SAS.Develop specifications documents and data dictionaries for in-house data,…	110000.0
156	Staff Data Scientist - REMOTE USA	Remote in Washington, DC	Mandiant	$140,000 a year	Identify data sources; iterate and grow datasets over time.Explore and analyze data; perform ad-hoc analyses to answer targeted questions.	140000.0
157	Data Scientist II (Model Validation, Remote)	Hybrid remote in Vienna, VA 22180+1 location	Navy Federal Credit Union	$95,600 - $179,700 a year	Advanced skill data mining, data wrangling, and data transformation with both structured and unstructured data; deep understanding of data models.	137650.0
158	Senior Data Architect	Remote in Chantilly, VA+1 location	Peraton	Up to $142,314 a year	Expertise in big data architecture designing end-to-end solution on ingest, process, and analysis of large and complex data set.	142314.0
159	Solutions Architect – Artificial Intelligence and Machine Le...	Reston, VA	ManTech International Corporation	$135,300 - $225,500 a year	Acquire data from primary and other data sources and maintain databases/data systems.Analyze source data and types, identify data requirements for destination…	180400.0
160	Lead Data Scientist	Washington, DC 20005 (Logan Circle area)	BlueLabs	$95,000 a year	Collaborate with engineers, data scientists, program managers and external stakeholders to troubleshoot problems and proactively create solutions.	95000.0
161	Data Scientist Consultant	Washington, DC	Simatree	$75,000 - $150,000 a year	Knowledge of data structures, data modeling, replication and distribution, data/object relational database mapping.Pay: $75,000.00 - $150,000.00 per year.	112500.0
162	Senior Data Analyst	Washington, DC	Gridiron IT	$68,239 - $140,966 a year	Implements data management techniques and data collection systems.Develop strategies that optimize data quality, data security and process efficiency.	104602.5
163	Data Scientist II- Action Officer (1988)	Washington, DC 20571 (Downtown area)	EXECUTIVE PERSONNEL SERVICES INC	$104,000 a year	Possesses knowledge of appropriate data sources to address the specific requirements of projects for monitoring, characterization, analysis and modeling.	104000.0
164	Senior Data Scientist/Machine Learning Engineer	Remote in Washington, DC 20057+5 locations	Recruiting From Scratch	$140,000 - $200,000 a year	Work with cross-functional teams, including lawyers, data protection and security researchers.Gather training data, and train and evaluate state-of-the-art…	170000.0
165	Sr. Data Scientist - Corporate@ Arlington, Virginia	Arlington, VA+1 location	CEDENT	$105,000 - $150,000 a year	Conduct exploratory data analysis from complex data sources and build key data sets to support Company’s mission.Terms of Hire: Full Time.	127500.0
166	Senior Data Analyst	Washington, DC 20019 (Greenway area)	Salem Infotech	$69,263 - $133,539 a year	Strong communication skills - ability to articulate technical terms and complex data clearly to non-technical audience both verbally and in writing.	101401.0
167	Big Data/Machine Learning Engineer - Lead	McLean, VA 22102	TekwissenGroup	Up to $90 an hour	Hands on deep expertise in Spark.Manage and Maintain EMRs and CICD Pipelines.Jenkins/Groovy (Blue is nice to have).	180000.0
168	Biologist/Ecologist (Data Scientist)	Washington, DC	US National Park Service	$74,950 - $97,430 a year	"This job is open to.Career transition (CTAP, ICTAP, RPL).Federal employees who meet the definition of a ""surplus"" or ""displaced"" employee."	86190.0
169	Data Scientist I	Vienna, VA 22180+1 location	Navy Federal Credit Union	$101,500 - $156,100 a year	Moderate skill data mining, data wrangling, and data transformation with both structured and unstructured data; deep understanding of data models.	128800.0
